稼働年月日,容量,基盤,ジャンル,メーカー,タイトル,開発元,ジョブカテゴリ,カウント
1998-12-01,AC,モデル3 Step 2.1,RCG,SEGA,デイトナUSA2 POWER EDITION,セガ（AM2研）,0,0
1998-12-01,AC,モデル3 Step2.1,,SEGA,バーチャストライカー2 バージョン99,セガ（AM11研）,0,0
1998-12-01,AC,モデル3 Step 2.1,,SEGA,マジカル・トロッコ・アドベンチャー,セガ（AM3研）,0,0
1998-12-01,AC,モデル3 Step 2.1,,SEGA,L.A.マシンガンズ,セガ（AM3研）,0,0
1999-01-01,AC,-,,SEGA,モグラッパー,,0,0
1999-01-01,AC,モデル3 Step2.1,,SEGA,スパイクアウト ファイナルエディション,セガ（AM11研）,0,0
1999-02-01,AC,NAOMI,,SEGA,クレイジータクシー,セガ（AM3研）,0,0
1999-03-01,AC,NAOMI,,SEGA,エアラインパイロッツ,セガ（AM1研）,0,0
1999-03-01,AC,NAOMI,,SEGA,ゾンビリベンジ,セガ（AM1研）,0,0
1999-04-01,AC,NAOMI,,SEGA,ジャイアントグラム 全日本プロレス2,セガ（AM1研）,0,0
1999-04-01,AC,NAOMI,FTG-3D,SEGA,電脳戦機バーチャロン オラトリオ・タングラム Ver.5.4,セガ（AM3研）,0,0
